@relation spec											
											
@attribute univ { METRO, FOR, COUNTRY, SEOUL }											
@attribute gpa numeric											
@attribute toeic numeric											
@attribute toss {0, 1, 2, 3, 4, 5, 6, 7, 8}											
@attribute opic {N, IL, IMONE, IMTWO, IMTHREE, IH, AL}											
@attribute forlang numeric											
@attribute cert numeric											
@attribute award numeric											
@attribute intern numeric											
@attribute forexp numeric		
@attribute vol numeric									
@attribute comp {KAKAO, NAVER, SAMSUNG, SAMSUNGSDS, SKHYNIX, KT, LGUPLUS, LOTTEICT, CJOLIVENETWORKS, NCSOFT}											
											
											
@data											
METRO,	3.4,	785,	0,	N,	0,	3,	0,	0,	0,	0,	 KAKAO
FOR,	3.1,	895,	7,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.2,	0,	0,	N,	0,	4,	0,	0,	0,	0,	 KAKAO
SEOUL,	0,	920,	0,	N,	0,	0,	1,	1,	0,	0,	 KAKAO
SEOUL,	0,	0,	0,	N,	0,	3,	0,	0,	0,	1,	 KAKAO
COUNTRY,	0,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
METRO,	3.4,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
COUNTRY,	3.3,	0,	0,	N,	0,	4,	0,	0,	0,	0,	 KAKAO
COUNTRY,	3.6,	0,	0,	N,	0,	3,	0,	0,	0,	0,	 KAKAO
METRO,	0,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
METRO,	3.8,	550,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.3,	0,	0,	N,	0,	3,	0,	1,	1,	2,	 KAKAO
FOR,	3,	965,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.5,	0,	0,	 IMTWO,	0,	2,	0,	0,	0,	5,	 KAKAO
SEOUL,	3.5,	0,	0,	N,	0,	0,	0,	3,	0,	0,	 KAKAO
METRO,	3.8,	0,	0,	N,	0,	2,	0,	0,	1,	0,	 KAKAO
